block 1000, total 42000, active 17164, size 12, leak 205968.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 3400, active 2558, size 48, leak 122784.
block 32, total 7360, active 7335, size 340, leak 2493900.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 1800, active 1449, size 48, leak 69552.
block 32, total 7328, active 7322, size 340, leak 2489480.
block 1000, total 40000, active 16305, size 12, leak 195660.
block 200, total 4400, active 3005, size 48, leak 144240.
block 32, total 7360, active 7352, size 340, leak 2499680.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 2600, active 1520, size 48, leak 72960.
block 32, total 7360, active 7335, size 340, leak 2493900.
block 1000, total 40000, active 16259, size 12, leak 195108.
block 200, total 2200, active 1405, size 48, leak 67440.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 2400, active 1569, size 48, leak 75312.
block 32, total 7360, active 7339, size 340, leak 2495260.
block 1000, total 40000, active 16247, size 12, leak 194964.
block 200, total 4000, active 2991, size 48, leak 143568.
block 32, total 7360, active 7337, size 340, leak 2494580.
block 1000, total 40000, active 16277, size 12, leak 195324.
block 200, total 2200, active 1427, size 48, leak 68496.
block 32, total 7360, active 7335, size 340, leak 2493900.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 4000, active 2861, size 48, leak 137328.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 3600, active 2661, size 48, leak 127728.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 3800, active 2688, size 48, leak 129024.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 3600, active 2795, size 48, leak 134160.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16258, size 12, leak 195096.
block 200, total 2400, active 1426, size 48, leak 68448.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16274, size 12, leak 195288.
block 200, total 2400, active 1390, size 48, leak 66720.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 41000, active 16886, size 12, leak 202632.
block 200, total 3800, active 2991, size 48, leak 143568.
block 32, total 7360, active 7335, size 340, leak 2493900.
block 1000, total 40000, active 16240, size 12, leak 194880.
block 200, total 2200, active 1514, size 48, leak 72672.
block 32, total 7360, active 7343, size 340, leak 2496620.
block 1000, total 40000, active 16407, size 12, leak 196884.
block 200, total 3400, active 2391, size 48, leak 114768.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 32, total 7360, active 7333, size 340, leak 2493220.
block 1000, total 40000, active 16248, size 12, leak 194976.
block 200, total 3400, active 2793, size 48, leak 134064.
block 32, total 7360, active 7336, size 340, leak 2494240.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 3800, active 2667, size 48, leak 128016.
block 32, total 7328, active 7322, size 340, leak 2489480.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 3800, active 2714, size 48, leak 130272.
block 32, total 7360, active 7333, size 340, leak 2493220.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 4000, active 2744, size 48, leak 131712.
block 32, total 7360, active 7336, size 340, leak 2494240.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 2800, active 1443, size 48, leak 69264.
block 32, total 7360, active 7340, size 340, leak 2495600.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 32, total 7360, active 7341, size 340, leak 2495940.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 32, total 7360, active 7335, size 340, leak 2493900.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 32, total 7360, active 7335, size 340, leak 2493900.
block 1000, total 40000, active 16690, size 12, leak 200280.
block 200, total 2000, active 1514, size 48, leak 72672.
block 32, total 7360, active 7336, size 340, leak 2494240.
block 1000, total 40000, active 16246, size 12, leak 194952.
block 200, total 3000, active 1472, size 48, leak 70656.
block 32, total 7360, active 7356, size 340, leak 2501040.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 2400, active 1614, size 48, leak 77472.
block 32, total 7360, active 7341, size 340, leak 2495940.
block 1000, total 40000, active 16236, size 12, leak 194832.
block 200, total 4400, active 2917, size 48, leak 140016.
block 32, total 7360, active 7354, size 340, leak 2500360.
block 1000, total 40000, active 16280, size 12, leak 195360.
block 200, total 2600, active 1695, size 48, leak 81360.
block 32, total 7360, active 7342, size 340, leak 2496280.
block 1000, total 38000, active 15725, size 12, leak 188700.
block 200, total 2800, active 1582, size 48, leak 75936.
block 32, total 7392, active 7387, size 340, leak 2511580.
block 1000, total 38000, active 15622, size 12, leak 187464.
block 200, total 3800, active 3017, size 48, leak 144816.
block 32, total 7360, active 7350, size 340, leak 2499000.
block 1000, total 38000, active 15622, size 12, leak 187464.
block 200, total 1800, active 1369, size 48, leak 65712.
block 32, total 7328, active 7324, size 340, leak 2490160.
block 1000, total 38000, active 15634, size 12, leak 187608.
block 200, total 3800, active 2720, size 48, leak 130560.
block 32, total 7392, active 7365, size 340, leak 2504100.
block 1000, total 38000, active 15721, size 12, leak 188652.
block 200, total 4200, active 2909, size 48, leak 139632.
block 32, total 7360, active 7345, size 340, leak 2497300.
block 1000, total 38000, active 15622, size 12, leak 187464.
block 200, total 2200, active 1425, size 48, leak 68400.
block 32, total 7360, active 7336, size 340, leak 2494240.
block 1000, total 38000, active 15626, size 12, leak 187512.
block 200, total 4200, active 3013, size 48, leak 144624.
block 32, total 7392, active 7376, size 340, leak 2507840.
block 32, total 7360, active 7333, size 340, leak 2493220.
block 32, total 7360, active 7333, size 340, leak 2493220.
block 32, total 7360, active 7333, size 340, leak 2493220.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 2200, active 1451, size 48, leak 69648.
block 32, total 7360, active 7356, size 340, leak 2501040.
block 1000, total 38000, active 15608, size 12, leak 187296.
block 32, total 7392, active 7374, size 340, leak 2507160.
block 1000, total 38000, active 15621, size 12, leak 187452.
block 200, total 3800, active 2897, size 48, leak 139056.
block 32, total 7360, active 7357, size 340, leak 2501380.
block 32, total 7360, active 7349, size 340, leak 2498660.
block 32, total 7360, active 7349, size 340, leak 2498660.
block 1000, total 38000, active 15905, size 12, leak 190860.
block 200, total 2400, active 1442, size 48, leak 69216.
block 32, total 7392, active 7362, size 340, leak 2503080.
block 1000, total 38000, active 15796, size 12, leak 189552.
block 200, total 4600, active 3043, size 48, leak 146064.
block 32, total 7392, active 7379, size 340, leak 2508860.
block 1000, total 38000, active 15673, size 12, leak 188076.
block 200, total 3800, active 2909, size 48, leak 139632.
block 32, total 7392, active 7361, size 340, leak 2502740.
block 1000, total 38000, active 15681, size 12, leak 188172.
block 200, total 3800, active 3013, size 48, leak 144624.
block 32, total 7392, active 7371, size 340, leak 2506140.
block 1000, total 38000, active 15604, size 12, leak 187248.
block 200, total 3800, active 2784, size 48, leak 133632.
block 32, total 7392, active 7362, size 340, leak 2503080.
block 1000, total 38000, active 15604, size 12, leak 187248.
block 200, total 2200, active 1526, size 48, leak 73248.
block 32, total 7360, active 7360, size 340, leak 2502400.
block 1000, total 38000, active 15604, size 12, leak 187248.
block 200, total 3600, active 2632, size 48, leak 126336.
block 32, total 7360, active 7359, size 340, leak 2502060.
block 1000, total 38000, active 15604, size 12, leak 187248.
block 200, total 3600, active 2988, size 48, leak 143424.
block 32, total 7392, active 7362, size 340, leak 2503080.
block 1000, total 38000, active 15604, size 12, leak 187248.
block 200, total 2200, active 1609, size 48, leak 77232.
block 32, total 7392, active 7361, size 340, leak 2502740.
block 1000, total 38000, active 15612, size 12, leak 187344.
block 200, total 2600, active 1782, size 48, leak 85536.
block 32, total 7392, active 7378, size 340, leak 2508520.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 3800, active 2999, size 48, leak 143952.
block 32, total 7392, active 7366, size 340, leak 2504440.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 3600, active 2739, size 48, leak 131472.
block 32, total 7392, active 7362, size 340, leak 2503080.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 3200, active 2349, size 48, leak 112752.
block 32, total 7360, active 7350, size 340, leak 2499000.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5000, active 4259, size 48, leak 204432.
block 32, total 7360, active 7350, size 340, leak 2499000.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5000, active 4696, size 48, leak 225408.
block 32, total 7328, active 7302, size 340, leak 2482680.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5400, active 4133, size 48, leak 198384.
block 32, total 7328, active 7316, size 340, leak 2487440.
block 1000, total 38000, active 15745, size 12, leak 188940.
block 200, total 5600, active 4798, size 48, leak 230304.
block 32, total 7360, active 7338, size 340, leak 2494920.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4229, size 48, leak 202992.
block 32, total 7328, active 7316, size 340, leak 2487440.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4364, size 48, leak 209472.
block 32, total 7328, active 7328, size 340, leak 2491520.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5400, active 4276, size 48, leak 205248.
block 32, total 7328, active 7316, size 340, leak 2487440.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5400, active 4402, size 48, leak 211296.
block 32, total 7328, active 7326, size 340, leak 2490840.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 3158, size 48, leak 151584.
block 32, total 7328, active 7321, size 340, leak 2489140.
block 1000, total 38000, active 15622, size 12, leak 187464.
block 200, total 6200, active 4379, size 48, leak 210192.
block 32, total 7360, active 7350, size 340, leak 2499000.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4100, size 48, leak 196800.
block 32, total 7328, active 7314, size 340, leak 2486760.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 3976, size 48, leak 190848.
block 32, total 7328, active 7313, size 340, leak 2486420.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4219, size 48, leak 202512.
block 32, total 7328, active 7323, size 340, leak 2489820.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4233, size 48, leak 203184.
block 32, total 7328, active 7314, size 340, leak 2486760.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4018, size 48, leak 192864.
block 32, total 7328, active 7313, size 340, leak 2486420.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4208, size 48, leak 201984.
block 32, total 7328, active 7313, size 340, leak 2486420.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4036, size 48, leak 193728.
block 32, total 7328, active 7314, size 340, leak 2486760.
block 1000, total 39000, active 16257, size 12, leak 195084.
block 200, total 5600, active 4274, size 48, leak 205152.
block 32, total 7360, active 7339, size 340, leak 2495260.
block 1000, total 38000, active 15609, size 12, leak 187308.
block 200, total 5600, active 4230, size 48, leak 203040.
block 32, total 7360, active 7335, size 340, leak 2493900.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5400, active 4167, size 48, leak 200016.
block 32, total 7328, active 7321, size 340, leak 2489140.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5400, active 4113, size 48, leak 197424.
block 32, total 7328, active 7315, size 340, leak 2487100.
block 1000, total 39000, active 16685, size 12, leak 200220.
block 200, total 5600, active 4341, size 48, leak 208368.
block 32, total 7360, active 7354, size 340, leak 2500360.
block 1000, total 38000, active 15788, size 12, leak 189456.
block 200, total 5400, active 3065, size 48, leak 147120.
block 32, total 7392, active 7390, size 340, leak 2512600.
block 1000, total 38000, active 15849, size 12, leak 190188.
block 200, total 5600, active 4111, size 48, leak 197328.
block 32, total 7328, active 7315, size 340, leak 2487100.
block 1000, total 38000, active 15613, size 12, leak 187356.
block 200, total 5600, active 4155, size 48, leak 199440.
block 32, total 7328, active 7316, size 340, leak 2487440.
block 1000, total 38000, active 15612, size 12, leak 187344.
block 200, total 5400, active 4135, size 48, leak 198480.
block 32, total 7360, active 7330, size 340, leak 2492200.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 3988, size 48, leak 191424.
block 32, total 7328, active 7314, size 340, leak 2486760.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4043, size 48, leak 194064.
block 32, total 7360, active 7334, size 340, leak 2493560.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5400, active 4312, size 48, leak 206976.
block 32, total 7360, active 7342, size 340, leak 2496280.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5400, active 4041, size 48, leak 193968.
block 32, total 7328, active 7315, size 340, leak 2487100.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4266, size 48, leak 204768.
block 32, total 7328, active 7315, size 340, leak 2487100.
block 1000, total 38000, active 15665, size 12, leak 187980.
block 200, total 5600, active 4217, size 48, leak 202416.
block 32, total 7360, active 7337, size 340, leak 2494580.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5600, active 4838, size 48, leak 232224.
block 32, total 7328, active 7302, size 340, leak 2482680.
block 1000, total 42000, active 19865, size 12, leak 238380.
block 200, total 7600, active 4208, size 48, leak 201984.
block 32, total 7392, active 7364, size 340, leak 2503760.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5400, active 4073, size 48, leak 195504.
block 32, total 7328, active 7316, size 340, leak 2487440.
block 1000, total 38000, active 15609, size 12, leak 187308.
block 200, total 5600, active 4300, size 48, leak 206400.
block 32, total 7328, active 7316, size 340, leak 2487440.
block 1000, total 41000, active 18280, size 12, leak 219360.
block 200, total 5400, active 4359, size 48, leak 209232.
block 32, total 7328, active 7320, size 340, leak 2488800.
block 32, total 7328, active 7299, size 340, leak 2481660.
block 32, total 7328, active 7299, size 340, leak 2481660.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4128, size 48, leak 198144.
block 32, total 7328, active 7318, size 340, leak 2488120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 4164, size 48, leak 199872.
block 32, total 7392, active 7379, size 340, leak 2508860.
block 1000, total 38000, active 15618, size 12, leak 187416.
block 200, total 5600, active 4200, size 48, leak 201600.
block 32, total 7392, active 7392, size 340, leak 2513280.
block 1000, total 38000, active 15618, size 12, leak 187416.
block 200, total 8400, active 4280, size 48, leak 205440.
block 32, total 7456, active 7432, size 340, leak 2526880.
block 1000, total 38000, active 15636, size 12, leak 187632.
block 200, total 5600, active 4264, size 48, leak 204672.
block 32, total 7424, active 7393, size 340, leak 2513620.
block 1000, total 38000, active 15635, size 12, leak 187620.
block 200, total 5400, active 4428, size 48, leak 212544.
block 32, total 7392, active 7380, size 340, leak 2509200.
block 1000, total 38000, active 15630, size 12, leak 187560.
block 200, total 5600, active 4361, size 48, leak 209328.
block 32, total 7392, active 7388, size 340, leak 2511920.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4188, size 48, leak 201024.
block 32, total 7392, active 7376, size 340, leak 2507840.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6800, active 5339, size 48, leak 256272.
block 32, total 7392, active 7379, size 340, leak 2508860.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4122, size 48, leak 197856.
block 32, total 7392, active 7380, size 340, leak 2509200.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4190, size 48, leak 201120.
block 32, total 7392, active 7379, size 340, leak 2508860.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4093, size 48, leak 196464.
block 32, total 7392, active 7378, size 340, leak 2508520.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4081, size 48, leak 195888.
block 32, total 7392, active 7376, size 340, leak 2507840.
block 1000, total 38000, active 15628, size 12, leak 187536.
block 200, total 5600, active 4099, size 48, leak 196752.
block 32, total 7392, active 7377, size 340, leak 2508180.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5200, active 4852, size 48, leak 232896.
block 32, total 7392, active 7366, size 340, leak 2504440.
block 1000, total 38000, active 16247, size 12, leak 194964.
block 200, total 7000, active 4346, size 48, leak 208608.
block 32, total 7424, active 7411, size 340, leak 2519740.
block 1000, total 39000, active 16436, size 12, leak 197232.
block 200, total 5600, active 4205, size 48, leak 201840.
block 32, total 7424, active 7422, size 340, leak 2523480.
block 1000, total 38000, active 15623, size 12, leak 187476.
block 200, total 5600, active 4188, size 48, leak 201024.
block 32, total 7392, active 7389, size 340, leak 2512260.
block 1000, total 38000, active 15687, size 12, leak 188244.
block 200, total 5600, active 4155, size 48, leak 199440.
block 32, total 7392, active 7392, size 340, leak 2513280.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5400, active 4240, size 48, leak 203520.
block 32, total 7392, active 7380, size 340, leak 2509200.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5800, active 4348, size 48, leak 208704.
block 32, total 7424, active 7397, size 340, leak 2514980.
block 1000, total 38000, active 15892, size 12, leak 190704.
block 200, total 6200, active 4420, size 48, leak 212160.
block 32, total 7424, active 7405, size 340, leak 2517700.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4272, size 48, leak 205056.
block 32, total 7424, active 7400, size 340, leak 2516000.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6200, active 4771, size 48, leak 229008.
block 32, total 7456, active 7436, size 340, leak 2528240.
block 1000, total 38000, active 15632, size 12, leak 187584.
block 200, total 8000, active 4460, size 48, leak 214080.
block 32, total 7456, active 7444, size 340, leak 2530960.
block 1000, total 38000, active 15613, size 12, leak 187356.
block 200, total 5600, active 4343, size 48, leak 208464.
block 32, total 7392, active 7389, size 340, leak 2512260.
block 1000, total 38000, active 15636, size 12, leak 187632.
block 200, total 6200, active 5529, size 48, leak 265392.
block 200, total 2600, active 1769, size 48, leak 84912.
block 32, total 7424, active 7396, size 340, leak 2514640.
block 1000, total 38000, active 15611, size 12, leak 187332.
block 200, total 6400, active 4691, size 48, leak 225168.
block 32, total 7424, active 7404, size 340, leak 2517360.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4337, size 48, leak 208176.
block 32, total 7424, active 7395, size 340, leak 2514300.
block 1000, total 38000, active 15742, size 12, leak 188904.
block 200, total 6000, active 4565, size 48, leak 219120.
block 32, total 7456, active 7427, size 340, leak 2525180.
block 1000, total 38000, active 15958, size 12, leak 191496.
block 200, total 5400, active 4305, size 48, leak 206640.
block 32, total 7392, active 7392, size 340, leak 2513280.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4314, size 48, leak 207072.
block 32, total 7392, active 7380, size 340, leak 2509200.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5200, active 4946, size 48, leak 237408.
block 32, total 7392, active 7366, size 340, leak 2504440.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4212, size 48, leak 202176.
block 32, total 7392, active 7382, size 340, leak 2509880.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4159, size 48, leak 199632.
block 32, total 11616, active 11606, size 340, leak 3946040.
block 32, total 11616, active 11585, size 340, leak 3938900.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4345, size 48, leak 208560.
block 32, total 11584, active 11559, size 340, leak 3930060.
block 32, total 11552, active 11530, size 340, leak 3920200.
block 32, total 11552, active 11530, size 340, leak 3920200.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4375, size 48, leak 210000.
block 32, total 7424, active 7397, size 340, leak 2514980.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4368, size 48, leak 209664.
block 32, total 7424, active 7396, size 340, leak 2514640.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4413, size 48, leak 211824.
block 32, total 7392, active 7388, size 340, leak 2511920.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4177, size 48, leak 200496.
block 32, total 7392, active 7382, size 340, leak 2509880.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4057, size 48, leak 194736.
block 32, total 7392, active 7380, size 340, leak 2509200.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4225, size 48, leak 202800.
block 32, total 7392, active 7380, size 340, leak 2509200.
block 1000, total 38000, active 15611, size 12, leak 187332.
block 200, total 5600, active 4203, size 48, leak 201744.
block 32, total 7424, active 7400, size 340, leak 2516000.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4108, size 48, leak 197184.
block 32, total 7392, active 7380, size 340, leak 2509200.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5800, active 4337, size 48, leak 208176.
block 32, total 7776, active 7758, size 340, leak 2637720.
block 1000, total 38000, active 15612, size 12, leak 187344.
block 200, total 9000, active 7498, size 48, leak 359904.
block 32, total 7776, active 7758, size 340, leak 2637720.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6000, active 4847, size 48, leak 232656.
block 32, total 7776, active 7756, size 340, leak 2637040.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5800, active 5611, size 48, leak 269328.
block 32, total 7744, active 7744, size 340, leak 2632960.
block 1000, total 38000, active 15642, size 12, leak 187704.
block 200, total 5600, active 4775, size 48, leak 229200.
block 32, total 7392, active 7380, size 340, leak 2509200.
block 1000, total 38000, active 15622, size 12, leak 187464.
block 200, total 5600, active 4412, size 48, leak 211776.
block 32, total 7392, active 7384, size 340, leak 2510560.
block 1000, total 38000, active 15708, size 12, leak 188496.
block 200, total 6200, active 4365, size 48, leak 209520.
block 32, total 7424, active 7400, size 340, leak 2516000.
block 1000, total 38000, active 15619, size 12, leak 187428.
block 200, total 5600, active 4541, size 48, leak 217968.
block 32, total 7424, active 7418, size 340, leak 2522120.
block 1000, total 38000, active 15694, size 12, leak 188328.
block 200, total 5600, active 4352, size 48, leak 208896.
block 32, total 7424, active 7393, size 340, leak 2513620.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4012, size 48, leak 192576.
block 32, total 7392, active 7380, size 340, leak 2509200.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5600, active 4339, size 48, leak 208272.
block 32, total 7424, active 7406, size 340, leak 2518040.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5600, active 4184, size 48, leak 200832.
block 32, total 7424, active 7406, size 340, leak 2518040.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5600, active 4018, size 48, leak 192864.
block 32, total 7424, active 7416, size 340, leak 2521440.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4260, size 48, leak 204480.
block 32, total 7424, active 7409, size 340, leak 2519060.
block 1000, total 38000, active 15852, size 12, leak 190224.
block 200, total 5600, active 4204, size 48, leak 201792.
block 32, total 7456, active 7434, size 340, leak 2527560.
block 1000, total 38000, active 15940, size 12, leak 191280.
block 200, total 7400, active 5256, size 48, leak 252288.
block 32, total 7456, active 7446, size 340, leak 2531640.
block 1000, total 38000, active 15875, size 12, leak 190500.
block 200, total 7400, active 4990, size 48, leak 239520.
block 32, total 7488, active 7479, size 340, leak 2542860.
block 1000, total 38000, active 16049, size 12, leak 192588.
block 200, total 6400, active 3284, size 48, leak 157632.
block 32, total 7456, active 7437, size 340, leak 2528580.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5400, active 4011, size 48, leak 192528.
block 32, total 7424, active 7413, size 340, leak 2520420.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5200, active 4389, size 48, leak 210672.
block 32, total 7424, active 7402, size 340, leak 2516680.
block 1000, total 38000, active 16020, size 12, leak 192240.
block 200, total 6200, active 4165, size 48, leak 199920.
block 32, total 7488, active 7460, size 340, leak 2536400.
block 1000, total 38000, active 15825, size 12, leak 189900.
block 200, total 5600, active 4453, size 48, leak 213744.
block 32, total 7424, active 7424, size 340, leak 2524160.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5400, active 4144, size 48, leak 198912.
block 32, total 7424, active 7415, size 340, leak 2521100.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 8200, active 4302, size 48, leak 206496.
block 32, total 8736, active 8713, size 340, leak 2962420.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5400, active 4181, size 48, leak 200688.
block 32, total 7424, active 7416, size 340, leak 2521440.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5600, active 4224, size 48, leak 202752.
block 32, total 8704, active 8676, size 340, leak 2949840.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 6600, active 3212, size 48, leak 154176.
block 32, total 8704, active 8699, size 340, leak 2957660.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 6200, active 4342, size 48, leak 208416.
block 32, total 8704, active 8699, size 340, leak 2957660.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5600, active 4090, size 48, leak 196320.
block 32, total 8704, active 8677, size 340, leak 2950180.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 5600, active 4104, size 48, leak 196992.
block 32, total 8704, active 8675, size 340, leak 2949500.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 6600, active 4161, size 48, leak 199728.
block 32, total 8704, active 8681, size 340, leak 2951540.
block 1000, total 38000, active 15824, size 12, leak 189888.
block 200, total 8600, active 4234, size 48, leak 203232.
block 32, total 8736, active 8712, size 340, leak 2962080.
block 32, total 8672, active 8661, size 340, leak 2944740.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5200, active 5035, size 48, leak 241680.
block 32, total 8672, active 8663, size 340, leak 2945420.
block 1000, total 38000, active 15732, size 12, leak 188784.
block 200, total 7600, active 4648, size 48, leak 223104.
block 32, total 8736, active 8721, size 340, leak 2965140.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4224, size 48, leak 202752.
block 32, total 8704, active 8678, size 340, leak 2950520.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4173, size 48, leak 200304.
block 32, total 9184, active 9179, size 340, leak 3120860.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4330, size 48, leak 207840.
block 32, total 9184, active 9178, size 340, leak 3120520.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4432, size 48, leak 212736.
block 32, total 9184, active 9179, size 340, leak 3120860.
block 1000, total 38000, active 15726, size 12, leak 188712.
block 200, total 8200, active 4341, size 48, leak 208368.
block 32, total 9216, active 9200, size 340, leak 3128000.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5800, active 4122, size 48, leak 197856.
block 32, total 9184, active 9182, size 340, leak 3121880.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 6600, active 4146, size 48, leak 199008.
block 32, total 9216, active 9211, size 340, leak 3131740.
block 32, total 9184, active 9165, size 340, leak 3116100.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 3034, size 48, leak 145632.
block 32, total 9184, active 9181, size 340, leak 3121540.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5200, active 3978, size 48, leak 190944.
block 32, total 9184, active 9165, size 340, leak 3116100.
